Name,"Release Date","Last Update","Current Price"
"Radar Chaos - World Edition","2014-12-18 17:24:51","2020-09-25 17:24:51",6.99
"Raptor: Call of the Shadows (1994 Classic Edition)","1994-04-01 19:00:00","2021-09-24 22:52:25",4.99
"RC Cars","2003-12-11 17:24:16","2020-09-25 17:24:16",2.99
"Real Warfare: 1242","2010-06-11 17:24:16","2020-09-25 17:24:16",3.99
"Real Warfare 2: Northern Crusades","2011-11-18 17:24:16","2020-09-25 17:24:16",4.99
"Realms of Chaos","1995-11-11 17:24:43","2021-08-18 02:22:59",4.99
"Realms Of The Haunting","1996-12-31 17:24:26","2021-09-28 07:39:02",2.99
Realpolitiks,"2017-02-16 17:24:29","2020-09-25 17:24:29",14.99
"Realpolitiks - New Power (DLC)","2018-03-15 17:24:52","2020-09-28 15:10:08",7.99
"Reign: Conflict of Nations ","2010-06-30 17:24:05","2020-09-25 17:24:05",14.99
Renoir,"2016-11-16 12:00:00","2021-04-18 19:19:20",9.99
"Return to Mysterious Island","2014-03-06 17:24:43","2020-09-25 17:24:43",9.99
"Return to Mysterious Island 2","2014-03-06 17:24:43","2020-09-25 17:24:43",9.99
"Rig 'n' Roll","2010-06-04 17:24:15","2021-08-31 10:14:48",4.99
"Rise of the Triad: Dark War: Extreme Edition","1994-12-21 17:24:49","2021-09-24 22:46:31",4.99
"Robin Hood - The Legend of Sherwood","2002-11-01 17:24:32","2020-09-25 17:24:32",9.99
"Robin's Island Adventure","2011-04-05 17:24:43","2020-09-25 17:24:43",2.99
RoBoRumble,"1998-02-24 17:24:52","2020-09-25 17:24:52",5.99
"Rogue Trooper","2006-04-21 17:24:22","2020-09-25 17:24:22",9.99
"ROOMS: The Toymaker's Mansion","2015-05-01 17:24:50","2020-09-25 17:24:50",14.99
